naam,url,Beplantingstypes > Boomtypen,Beplantingstypes > Overige beplanting,Beplantingstypes > Vormbomen met stam,Beplantingstypes > Vormbomen zonder stam,Eigenschappen > Breedte,Eigenschappen > Hoogte,Eigenschappen > Kroonstructuur,Eigenschappen > Kroonvorm,Eigenschappen > Winterhardheidszone,Standplaats > Biodiversiteit,Standplaats > Bodemvochtigheid,Standplaats > Extreme condities,Standplaats > Grondsoort,Standplaats > Lichtbehoefte,Standplaats > Voedselrijkdom,Standplaats > Wind,Standplaats > pH-waarde,Toepassing > Beplantingsconcepten,Toepassing > Locatie,Toepassing > Verharding,nsr_status,status_nl
Colutea x media 'Copper Beauty',https: / www.ebben.nl / nl / treeebb / comcbeau-colutea-x-media-copper-beauty,solitair heesters,,,,1 - 2 m,1 - 2 m,gesloten,rond,6A - 11B,bijen / vlinders,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk,verdraagt geen wind / verdraagt matige wind / verdraagt wind,zuur / neutraal / basisch,,park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Corylus maxima 'Purpurea',https: / www.ebben.nl / nl / treeebb / compurpu-corylus-maxima-purpurea,hoogstam bomen / halfstam bomen / meerstammige bomen / fruitbomen / solitair heesters,,meerstammig parasol,,4 - 6 m,4 - 6 m,gesloten,breed vaas,5B - 10A,vogels / kleine zoogdieren / mensen,droog / vochtig,,löss / zavel / lichte klei / zand / lemige grond,zon,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,voedselbos,"park / groenstrook / daktuin / grote tuin / kleine tuin / verkeer, industrie / landschap / ecologische zone",geen,,
Cornus nuttallii 'Monarch',https: / www.ebben.nl / nl / treeebb / conmonar-cornus-nuttallii-monarch,hoogstam bomen / beveerde bomen / meerstammige bomen / karakteristieke bomen / solitair heesters,,meerstammig parasol,,5 - 7 m,6 - 8 m,halfopen,breed piramidaal,7A - 9B,vogels,vochtig,verdraagt droogte,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,stedelijke beplanting,park / bakken / containers / grote tuin / begraafplaats,geen,,
Cornus nuttallii,https: / www.ebben.nl / nl / treeebb / conuttal-cornus-nuttallii,hoogstam bomen / beveerde bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,2 - 5 m,3 - 6 m,halfopen,ovaal / breed ovaal / eirond,7A - 9B,vogels,vochtig,verdraagt droogte,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt geen wind,zuur / neutraal,stedelijke beplanting,park / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus officinalis,https: / www.ebben.nl / nl / treeebb / cooffici-cornus-officinalis,hoogstam bomen / beveerde bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,"4,5 - 6 m",6 - 8 m,halfopen,rond,5A - 8B,,droog / vochtig,,lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,neutraal / basisch,voedselbos,park / bakken / containers / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cornus officinalis 'Robin's Pride',https: / www.ebben.nl / nl / treeebb / coorprid-cornus-officinalis-robins-pride,hoogstam bomen / beveerde bomen / klimaatbomen,,lei / leischerm,,3 - 4 m,5 - 6 m,halfopen,breed ovaal,5A - 9B,,,,zavel / lichte klei / zand / lemige grond,,,verdraagt matige wind / verdraagt wind,neutraal / basisch,voedselbos,park / groenstrook / grote tuin / kleine tuin / patiotuin,geen,,
Corylopsis pauciflora,https: / www.ebben.nl / nl / treeebb / copaucif-corylopsis-pauciflora,solitair heesters,,,,1 - 2 m,1 - 2 m,,,7A - 9B,bijen / nectarwaarde 3 / pollenwaarde 0,droog / vochtig,,zavel / lichte klei / zand / lemige grond,zon,voedselrijk,verdraagt geen wind,zuur / neutraal,,park / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,,,
Corylus x colurnoides,https: / www.ebben.nl / nl / treeebb / corcolur-corylus-x-colurnoides,hoogstam bomen,,,,5 - 6 m,8 - 15 m,halfopen,breed piramidaal,5B - 8B,,droog / vochtig,,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,voedselrijk,verdraagt wind,neutraal / basisch,,"straat / park / grote tuin / verkeer, industrie / landschap",,,
Cotoneaster radicans 'Eichholz',https: / www.ebben.nl / nl / treeebb / coreichh-cotoneaster-radicans-eichholz,solitair heesters,onderbeplanting / bodembedekker,,,"1,8 - 2,5 m","0,25 - 0,75 m",,,5A - 8A,bijen / vlinders / vogels,droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / veen / zware klei / lichte klei / zand / lemige grond / alle grondsoorten,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal,stedelijke beplanting / ecobeplanting,park / bakken / containers / grote tuin / kleine tuin / begraafplaats / kustgebied,geen / open,,
Cornus 'Rutgan',https: / www.ebben.nl / nl / treeebb / corutgan-cornus-rutgan,hoogstam bomen / meerstammige bomen / solitair heesters,,meerstammig parasol,,3 - 6 m,"3,5 - 6 m",halfopen,rond,6A - 9B,,droog / vochtig,,löss / zavel / veen / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal,,park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats,geen,,
Cotoneaster salicifolius,https: / www.ebben.nl / nl / treeebb / cosalici-cotoneaster-salicifolius,solitair heesters,onderbeplanting,,,"3 - 4,5 m","3 - 4,5 m",open,,5A - 9A,bijen / vlinders / vogels / kleine zoogdieren / nectarwaarde 4 / pollenwaarde 4,zeer droog / droog / vochtig,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw / schaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt zeewind,zuur / neutraal / basisch,schaduwtolerant / ecobeplanting,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / patiotuin / begraafplaats / verkeer, industrie / kustgebied",geen,,
Cornus sanguinea,https: / www.ebben.nl / nl / treeebb / cosangui-cornus-sanguinea,bosplantsoen / solitair heesters,onderbeplanting,,,2 - 4 m,2 - 4 m,halfopen,breed ovaal,4A - 8B,bijen / vlinders / nectarwaarde 1 / pollenwaarde 1,droog / vochtig / nat,verdraagt luchtverontreiniging,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,,"park / groenstrook / grote tuin / begraafplaats / verkeer, industrie / landschap / ecologische zone / windsingel",geen,1a,inheems
Cotoneaster x suecicus 'Coral Beauty',https: / www.ebben.nl / nl / treeebb / coscbeau-cotoneaster-x-suecicus-coral-beauty,,onderbeplanting / bodembedekker,,bonsai,"0,5 - 0,6 m","0,25 - 0,75 m",,,5B - 8B,bijen / vlinders / vogels,droog / vochtig,verdraagt strooizout / verdraagt droogte / verdraagt luchtverontreiniging,löss / zavel / zware klei / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind / verdraagt matige zeewind,zuur / neutraal / basisch,stedelijke beplanting / ecobeplanting,park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin,geen,,
Cornus sericea 'Flaviramea',https: / www.ebben.nl / nl / treeebb / cosflavi-cornus-sericea-flaviramea,solitair heesters,onderbeplanting,,,2 - 3 m,2 - 3 m,gesloten,,2A - 8B,bijen / vogels / kleine zoogdieren,vochtig,verdraagt luchtverontreiniging / verdraagt hitte / verdraagt kortstondige overstroming,löss / zavel / lichte klei / zand / lemige grond,zon / halfschaduw,matig voedselrijk / voedselrijk,verdraagt wind,zuur / neutraal / basisch,,"park / groenstrook / bakken / containers / daktuin / grote tuin / kleine tuin / begraafplaats / verkeer, industrie / wadi",geen,,
